,username,end_time,white_username,black_username,Result,StartTime
23,tianminlyu,21:28:17,illyamaron,tianminlyu,0-1,20:57:37
24,tianminlyu,22:05:08,tianminlyu,DayMan1,1-0,21:44:30
25,tianminlyu,22:21:47,tianminlyu,brawnykazoo,0-1,22:13:24
26,tianminlyu,15:01:39,ulises19,tianminlyu,1-0,14:37:29
27,tianminlyu,18:38:42,tianminlyu,Shabeni,0-1,18:28:33
28,tianminlyu,18:42:45,vrraj9959889775,tianminlyu,0-1,18:40:06
29,tianminlyu,19:10:34,tianminlyu,sokolalia87,0-1,18:44:12
30,tianminlyu,20:47:26,Jasha76,tianminlyu,0-1,20:18:43
31,tianminlyu,21:09:54,tianminlyu,ThoXmaster,0-1,20:50:11
32,tianminlyu,14:49:44,tianminlyu,Vesiliano,0-1,14:41:34
33,tianminlyu,20:45:45,hetake2,tianminlyu,1-0,20:32:23
34,tianminlyu,21:00:50,hix,tianminlyu,0-1,20:54:57
35,tianminlyu,21:08:54,Jalleyjr,tianminlyu,0-1,21:01:06
36,tianminlyu,21:10:28,tianminlyu,Sheevzzz,0-1,21:05:18
37,tianminlyu,21:20:37,uliseslomeli,tianminlyu,0-1,21:14:57
38,tianminlyu,21:35:26,tianminlyu,rodizios,1-0,21:25:39
39,tianminlyu,21:41:05,Karencho1,tianminlyu,0-1,21:36:21
40,tianminlyu,21:51:18,tianminlyu,Alanthezhaboss,0-1,21:46:54
41,tianminlyu,22:02:45,daz000007,tianminlyu,0-1,21:57:44
42,tianminlyu,22:59:08,tianminlyu,ramsesamaya,0-1,22:55:00
43,tianminlyu,23:08:14,Paradigmshift23,tianminlyu,0-1,23:05:41
44,tianminlyu,23:22:19,tianminlyu,ljupcekralj22,1-0,23:16:15
45,tianminlyu,23:33:16,welmena,tianminlyu,0-1,23:26:53
46,tianminlyu,23:46:41,tianminlyu,DraculaExCorona,0-1,23:37:17
47,tianminlyu,23:46:54,bendahir,tianminlyu,1-0,23:46:54
48,tianminlyu,21:39:58,tianminlyu,REEPERoDEATH,1-0,21:35:05
49,tianminlyu,22:29:45,seius,tianminlyu,0-1,22:11:05
50,tianminlyu,23:23:12,tianminlyu,bassem_checkmate,1-0,22:49:14
51,tianminlyu,23:38:38,Edssemog,tianminlyu,0-1,23:23:36
52,tianminlyu,00:48:48,tianminlyu,Alexito1984,0-1,00:08:03
53,tianminlyu,21:24:12,tianminlyu,bestplayer1337,0-1,21:01:24
54,tianminlyu,22:05:12,ReligionPoisonsTheWorld,tianminlyu,0-1,21:27:20
55,tianminlyu,22:20:09,tianminlyu,TrentonAH,1-0,22:09:01
56,tianminlyu,19:43:08,willycsw,tianminlyu,0-1,19:35:10
57,tianminlyu,20:22:03,tianminlyu,sanya_shapoval,1-0,20:12:00
58,tianminlyu,22:09:28,OldChessPirate,tianminlyu,0-1,21:10:14
59,tianminlyu,22:40:49,tianminlyu,tronad,1-0,22:09:43
60,tianminlyu,20:57:02,kksl,tianminlyu,1-0,20:51:05
61,tianminlyu,01:31:17,tianminlyu,georgt,1-0,01:27:56
62,tianminlyu,01:48:29,tianminlyu,Artemka5A,0-1,01:39:10
63,tianminlyu,11:20:41,tablet2,tianminlyu,1-0,11:16:00
64,tianminlyu,14:36:19,szachista4444,tianminlyu,1-0,14:29:52
65,tianminlyu,15:42:28,Aahana28,tianminlyu,1-0,15:35:56
66,tianminlyu,21:02:54,tianminlyu,diaoularnozjbm,0-1,20:55:37
67,tianminlyu,00:43:46,tianminlyu,Mountain-Smell,1-0,00:34:31
68,tianminlyu,01:24:48,k-bob,tianminlyu,0-1,01:07:29
69,tianminlyu,01:50:03,tianminlyu,chenmh1027,0-1,01:33:26
70,tianminlyu,02:23:33,tianminlyu,goerkov,1-0,02:15:14
71,tianminlyu,02:34:25,pedrogomez77,tianminlyu,0-1,02:27:17
72,tianminlyu,12:30:25,tianminlyu,Goughfather,0-1,12:23:21
73,tianminlyu,15:46:42,Veerpatel2406,tianminlyu,1-0,15:29:27
74,tianminlyu,23:00:31,gmgera45,tianminlyu,1-0,22:58:30
75,tianminlyu,15:54:51,Hornblower8,tianminlyu,0-1,15:27:03
76,tianminlyu,16:23:25,tianminlyu,Jankosom,1-0,16:04:55
77,tianminlyu,16:56:39,tianminlyu,boii113,0-1,16:50:24
0,tianminlyu,09:23:36,tianminlyu,kruupy,1-0,09:00:26
1,tianminlyu,12:32:46,HiImNano,tianminlyu,1-0,12:11:16
2,tianminlyu,15:06:47,tianminlyu,teodorberintan46,1-0,14:19:20
3,tianminlyu,08:38:45,tianminlyu,AGcuber19,1-0,18:41:40
4,tianminlyu,07:50:22,dmvicant,tianminlyu,1-0,07:40:33
0,AGcuber19,00:09:33,nien-eleven,AGcuber19,1-0,00:03:42
1,AGcuber19,00:26:02,Sebastianbulowthomsen,AGcuber19,1-0,00:09:35
2,AGcuber19,00:27:26,xfoddz,AGcuber19,0-1,00:27:26
3,AGcuber19,00:39:02,AGcuber19,Eric_Carstens,0-1,00:27:28
4,AGcuber19,00:40:45,AGcuber19,andrewtatetopg20,1-0,00:39:07
5,AGcuber19,00:51:06,AGcuber19,Dylanbekillin,1-0,00:41:26
6,AGcuber19,14:23:53,adriaan-pelzer,AGcuber19,1-0,14:15:18
7,AGcuber19,14:24:42,AGcuber19,JuanBravoComunero,1-0,14:24:00
8,AGcuber19,14:28:13,802Marshadow,AGcuber19,1-0,14:25:07
9,AGcuber19,14:39:04,ganci1227,AGcuber19,0-1,14:28:23
10,AGcuber19,14:45:55,AGcuber19,reubenmolefi,0-1,14:41:40
11,AGcuber19,15:28:40,zshadx,AGcuber19,1-0,15:26:42
12,AGcuber19,15:30:56,AGcuber19,K7wt86,1-0,15:28:46
13,AGcuber19,16:05:56,AGcuber19,EEcao,1-0,15:50:54
14,AGcuber19,17:12:37,AGcuber19,AshaRamireddy,1-0,17:00:42
15,AGcuber19,17:27:29,tanumrump,AGcuber19,1-0,17:17:30
16,AGcuber19,21:35:06,AGcuber19,Mikelete007,0-1,21:26:00
17,AGcuber19,21:39:01,AGcuber19,Charlie_Delta0,1-0,21:35:12
18,AGcuber19,22:51:30,thexff24,AGcuber19,1-0,22:49:48
19,AGcuber19,22:58:58,fietspomp300,AGcuber19,0-1,22:51:44
20,AGcuber19,02:13:20,YaSh4Kumar,AGcuber19,0-1,01:58:26
21,AGcuber19,02:15:17,AGcuber19,arya12gua,1-0,02:14:08
22,AGcuber19,02:59:39,AGcuber19,Enchilladas,1-0,02:59:02
23,AGcuber19,17:13:58,AGcuber19,Monzir-ah,1-0,17:03:41
24,AGcuber19,18:07:02,AGcuber19,feitosamaria,0-1,18:05:58
25,AGcuber19,18:07:11,AGcuber19,doniak,1-0,18:07:09
26,AGcuber19,18:09:13,symfonyta,AGcuber19,1-0,18:07:16
27,AGcuber19,18:14:11,raminenii,AGcuber19,0-1,18:09:24
28,AGcuber19,19:33:49,aisgagaksbs,AGcuber19,1-0,19:31:13
29,AGcuber19,19:35:11,AGcuber19,samuelmoges,1-0,19:33:53
30,AGcuber19,19:39:07,AGcuber19,Joris_nooren,1-0,19:35:23
31,AGcuber19,19:57:06,guti0101,AGcuber19,1-0,19:55:12
32,AGcuber19,20:03:38,Montonen42,AGcuber19,0-1,19:57:10
33,AGcuber19,20:06:56,AGcuber19,drShibzukhov,0-1,20:03:48
34,AGcuber19,20:07:09,AGcuber19,LightHammel,1-0,20:07:05
35,AGcuber19,20:12:03,AGcuber19,krishna3196,0-1,20:07:30
36,AGcuber19,20:17:52,AGcuber19,Joferreira,0-1,20:12:08
37,AGcuber19,20:33:20,AGcuber19,Anselmo6655,1/2-1/2,20:18:00
38,AGcuber19,20:45:40,AGcuber19,yaoamy,1-0,20:45:03
39,AGcuber19,21:27:37,AGcuber19,CharlieYZ,0-1,21:23:31
40,AGcuber19,22:04:01,dogwater1012000,AGcuber19,1-0,22:00:05
41,AGcuber19,22:44:49,chessgoodseed,AGcuber19,0-1,22:31:38
42,AGcuber19,22:47:35,TheMajorNoob,AGcuber19,1-0,22:45:39
43,AGcuber19,22:50:10,AGcuber19,Dealer019,1-0,22:47:52
44,AGcuber19,22:58:05,LilithSardothien,AGcuber19,0-1,22:50:13
45,AGcuber19,01:15:25,ProximaM,AGcuber19,0-1,01:13:29
46,AGcuber19,01:20:34,jamal12345p,AGcuber19,0-1,01:15:39
47,AGcuber19,01:27:08,AGcuber19,bcross12,1-0,01:20:39
